Timestamp,How long have you been working on developing software?,How frequently do or did you answer questions on Stack Overflow?,How frequently do or did you include code snippets in your answers on Stack Overflow?,Where did the code snippets in your answers come from? [I copied them from my own personal projects.],Where did the code snippets in your answers come from? [I copied them from my company's projects.],Where did the code snippets in your answers come from? [I copied them from open source projects.],Where did the code snippets in your answers come from? [I wrote the new code from scratch.],Where did the code snippets in your answers come from? [I copied the code from the question and modified it for the answer.],Where did the code snippets in your answers come from? [Others],"Were you aware, at the time of copying the code, that Stack Overflow apply Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) to content in the posts, including code snippets?",Do you usually include a software license in your code snippets on Stack Overflow?,How frequently did you check the software license of the code snippets you copy to Stack Overflow if they conflict with Stack Overflow's CC BY-SA 3.0 license?,Outdated code occurs when code snippets in your answers are no longer up-to-date with the latest version of the software you copied the code from. Have you ever been notified of outdated code in your Stack Overflow answers? ,How frequently were you notified of outdated or deprecated code in your Stack Overflow answers?,How frequently did you fix your outdated code on Stack Overflow?,Do you have any other concerns regarding answering Stack Overflow with code snippets?
2017/07/25 9:56:37 PM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Rarely,Never,Very rarely,Very frequently,Frequently,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Frequently (61--80% of the cases),
2017/07/25 10:30:00 PM GMT+1,3 - 5 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Occasionally,Occasionally,Frequently,Frequently,Frequently,Rarely,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),"No, most copied code snippets are so trivial that licensing them would be nearly impossible. It's also mostly modified version, where only some patterns are used."
2017/07/25 10:44:35 PM GMT+1,3 - 5 years,Very Rarely (roughly once or twice a year),Frequently (61--80% of the time),Occasionally,Never,Occasionally,Occasionally,Frequently,Never,Yes,No.,Rarely (21--40% of the time),No,Never (0% of my answers),,
2017/07/25 10:46:11 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Rarely,Never,Very rarely,Occasionally,Very frequently,Rarely,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 10:53:28 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Occasionally,Occasionally,Very rarely,Frequently,Rarely,Never,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),Lot of the answers are from hobbyist so the quality is poor. Usually they are hacks or workarounds (even MY best answer on SO is a workaround).
2017/07/25 10:55:37 PM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Occasionally (41--60% of the time),Occasionally,Never,Rarely,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/25 11:01:18 PM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Frequently,Never,Occasionally,Frequently,Frequently,Rarely,Yes,No.,Frequently (61--80% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/25 11:06:06 PM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Frequently (61--80% of the time),Never,Never,Never,Very frequently,Very frequently,Never,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/25 11:09:16 PM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Occasionally,Never,Occasionally,Never,Occasionally,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 12:07:35 AM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Frequently (61--80% of the time),Very frequently,Very frequently,Very frequently,Very frequently,Very rarely,Very rarely,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 12:11:57 AM GMT+1,3 - 5 years,Very Rarely (roughly once or twice a year),Frequently (61--80% of the time),Frequently,Never,Frequently,Frequently,Very frequently,Frequently,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 1:29:05 AM GMT+1,3 - 5 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Very rarely,Very rarely,Never,Frequently,Frequently,Occasionally,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/26 1:40:08 AM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Occasionally,Never,Rarely,Frequently,Frequently,Very rarely,Yes,No.,Rarely (21--40% of the time),Yes,Rarely (21--40% of my answers),Occasionally (41--60% of the cases),
2017/07/26 2:37:51 AM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Frequently,Never,Rarely,Very frequently,Never,Never,Yes,No.,Very Frequently (81--100% of the time),No,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),"I think most example and explanatory snippets don't need a code-specific license. The CC license provides just fine. The examples either aren't copyrightable in the first place, or merely used as starting point (not used exactly as-is, not very different from reading an ""All rights reserved"" education book when learning programming, and ""using"" it in your career every day going forward). In addition, there is also the attitude of authors. Where I might care about attribution for distribution of my answer, the code within my answer is always Public Domain for me, meaning, I would never defend it. (I used to state that on my profile as well, but not in every post.)"
2017/07/26 3:57:23 AM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Frequently,Never,Never,Very frequently,Rarely,Very rarely,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 4:19:01 AM GMT+1,3 - 5 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Frequently,Never,Very rarely,Frequently,Occasionally,Never,No,No.,Never (0% of the time),No,Occasionally (41--60% of my answers),Rarely (21--40% of the cases),No 
2017/07/26 4:53:50 AM GMT+1,3 - 5 years,Very Rarely (roughly once or twice a year),Frequently (61--80% of the time),Never,Occasionally,Frequently,Frequently,Frequently,Occasionally,Yes,No.,Never (0% of the time),Yes,Rarely (21--40% of my answers),Frequently (61--80% of the cases),
2017/07/26 5:04:27 AM GMT+1,More than 10 years,Never,,,,,,,,,,,,,,
2017/07/26 5:26:39 AM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Occasionally,Occasionally,Rarely,Frequently,Occasionally,Very rarely,No,No.,Very Frequently (81--100% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),correctness and even syntax are often in doubt if I haven't had time to test the snippet end-to-end under the OP's conditions/environment
2017/07/26 5:31:03 AM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Occasionally,Very rarely,Very rarely,Frequently,Very frequently,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 6:03:08 AM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Very Frequently (81--100% of the time),Never,Never,Never,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 6:23:01 AM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Frequently (61--80% of the time),Rarely,Never,Very rarely,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/26 6:34:25 AM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Very Frequently (81--100% of the time),Very frequently,Very rarely,Occasionally,Frequently,Frequently,Never,Yes,No.,Frequently (61--80% of the time),No,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/26 6:41:31 AM GMT+1,More than 10 years,Very Frequently (every day),Very Frequently (81--100% of the time),Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Yes,"Yes, as a comment in the code.",Never (0% of the time),No,Very frequently (81--100% of my answers),Never (0% of the cases),"I have no concerns about asking or answering. This is a very leading question. *YOU* have concerns. *I* do not. Additionally, quit fucking spamming users. I hope your research proposal didn't actually approve this survey because you have a couple questions that are completely contradictory. I hope your data is confusing because of that. I hope your ethics commit didn't approve of your method of getting users to answer, because if they approved ""SPAM THE USERS!"" you should really reconsider the type of data you are getting back.I hope you have concerns though. "
2017/07/26 6:48:30 AM GMT+1,More than 10 years,Very Frequently (every day),Very Frequently (81--100% of the time),Frequently,Frequently,Occasionally,Very frequently,Very frequently,Rarely,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 7:04:19 AM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Very Frequently (81--100% of the time),Very frequently,Occasionally,Occasionally,Very frequently,Very frequently,Occasionally,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Never (0% of the cases),
2017/07/26 7:32:35 AM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Very frequently,Very rarely,Very rarely,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 8:13:53 AM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Never,Never,Never,Very frequently,Very frequently,Occasionally,No,No.,Never (0% of the time),No,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/26 9:16:25 AM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Occasionally (41--60% of the time),Very rarely,Never,Never,Very frequently,Frequently,Very rarely,Yes,No.,Very rarely (1--20% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/26 9:37:25 AM GMT+1,3 - 5 years,Very Frequently (every day),Occasionally (41--60% of the time),Very rarely,Never,Very rarely,Very frequently,Very frequently,Very rarely,Yes,No.,Never (0% of the time),Yes,Rarely (21--40% of my answers),Very rarely (1--20% of the cases),
2017/07/26 12:17:39 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Never,Never,Never,Very frequently,Never,Never,No,No.,Occasionally (41--60% of the time),No,Never (0% of my answers),,
2017/07/26 1:03:02 PM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Very Frequently (81--100% of the time),Frequently,Very rarely,Never,Frequently,Frequently,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 1:08:17 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Frequently,Never,Rarely,Frequently,Frequently,Occasionally,Yes,No.,Occasionally (41--60% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/26 1:16:11 PM GMT+1,Less than a year,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Frequently,Never,Rarely,Very frequently,Very rarely,Very rarely,Yes,No.,Very Frequently (81--100% of the time),No,Very rarely (1--20% of my answers),Never (0% of the cases),
2017/07/26 3:27:27 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Rarely (21--40% of the time),Occasionally,Never,Never,Frequently,Frequently,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 4:39:16 PM GMT+1,More than 10 years,Very Frequently (every day),Occasionally (41--60% of the time),Frequently,Occasionally,Never,Frequently,Rarely,Occasionally,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 6:37:55 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Occasionally,Very rarely,Very rarely,Very frequently,Very frequently,Very rarely,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/26 7:09:45 PM GMT+1,5 - 10 years,Very Rarely (roughly once or twice a year),Very Frequently (81--100% of the time),Very rarely,Never,Very rarely,Very frequently,Never,Never,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),It will be awesome if it becomes simple git repositories like github's gist
2017/07/26 7:50:59 PM GMT+1,3 - 5 years,Frequently (roughly 3-6 times a week),Very Frequently (81--100% of the time),Very rarely,Never,Frequently,Very frequently,Very frequently,Very rarely,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/27 12:42:05 AM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Never,Never,Never,Very frequently,Very frequently,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/27 2:47:53 AM GMT+1,3 - 5 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Occasionally,Never,Occasionally,Rarely,Occasionally,Very rarely,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/27 4:20:00 AM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Occasionally,Occasionally,Rarely,Frequently,Frequently,Very rarely,Yes,No.,Never (0% of the time),No,Very rarely (1--20% of my answers),Rarely (21--40% of the cases),
2017/07/27 6:51:06 AM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Very rarely,Never,Never,Frequently,Occasionally,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/27 10:11:35 AM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Very Frequently (81--100% of the time),Occasionally,Never,Never,Very frequently,Occasionally,Never,Yes,No.,Very Frequently (81--100% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/27 12:12:04 PM GMT+1,5 - 10 years,Frequently (roughly 3-6 times a week),Very Frequently (81--100% of the time),Frequently,Very rarely,Very rarely,Frequently,Occasionally,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Frequently (61--80% of the cases),nope
2017/07/28 12:07:47 AM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Very rarely,Never,Never,Very frequently,Occasionally,Never,Yes,No.,Very Frequently (81--100% of the time),No,Never (0% of my answers),,
2017/07/29 2:33:07 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Very rarely,Very rarely,Never,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/30 3:33:28 AM GMT+1,5 - 10 years,Frequently (roughly 3-6 times a week),Occasionally (41--60% of the time),Very rarely,Never,Rarely,Very frequently,Very frequently,Occasionally,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/30 8:56:52 AM GMT+1,5 - 10 years,Very Rarely (roughly once or twice a year),Very Frequently (81--100% of the time),Very frequently,Never,Very frequently,Very frequently,Very frequently,Occasionally,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/30 10:25:03 AM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Very frequently,Never,Occasionally,Frequently,Frequently,Never,Yes,No.,Occasionally (41--60% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/31 6:39:50 AM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Very frequently,Very frequently,Very rarely,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/31 8:26:45 AM GMT+1,3 - 5 years,Frequently (roughly 3-6 times a week),Very Frequently (81--100% of the time),Very rarely,Never,Never,Very frequently,Rarely,Never,No,No.,Never (0% of the time),Yes,Very frequently (81--100% of my answers),Very frequently (81--100% of the cases),your survey questions are poorly phrased and will not yield meaningful results.
2017/07/31 8:27:56 AM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Rarely (21--40% of the time),Very frequently,Frequently,Very frequently,Occasionally,Very rarely,Very rarely,Yes,No.,Very rarely (1--20% of the time),No,Never (0% of my answers),,
2017/08/01 1:45:22 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Frequently,Never,Never,Frequently,Frequently,Occasionally,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/08/06 10:21:07 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Frequently,Occasionally,Occasionally,Frequently,Occasionally,Never,No,No.,Very Frequently (81--100% of the time),Yes,Very rarely (1--20% of my answers),Frequently (61--80% of the cases),"Note that although I was not specifically of SO's licensing terms, I did have an in mind what those terms were likely to be. I have always made sure that there should be no reason that I should not share the code that I included in my replies."
2017/08/08 9:22:27 AM GMT+1,3 - 5 years,Frequently (roughly 3-6 times a week),Frequently (61--80% of the time),Rarely,Very rarely,Rarely,Frequently,Very rarely,Occasionally,Yes,No.,Rarely (21--40% of the time),Yes,Very rarely (1--20% of my answers),Rarely (21--40% of the cases),"It's an ESSENTIAL part of the site, it would NEVER work without such pieces of code. Also, given the snippets are very small in 99.99% of cases, legal aspects of this are inherently and pretty much always overlooked by the users."
